epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2175.3,1.0774,1.6903,1.43225,0.69935,0.51652,0.57665,0.39052,1.14125,1.32563,1.55167,0.00999598,0.00333199,0.00999598,0.00333199,0.00999598,0.00333199,0.00999598,0.00333199
2,3637.14,1.1416,1.46386,1.4827,0.73554,0.51838,0.57274,0.37587,1.23857,1.34077,1.68199,0.019798,0.00659934,0.019798,0.00659934,0.019798,0.00659934,0.019798,0.00659934
3,5236.96,1.26032,1.72226,1.58205,0.66065,0.46536,0.49995,0.32384,1.32249,1.63644,1.79332,0.0294021,0.00980069,0.0294021,0.00980069,0.0294021,0.00980069,0.0294021,0.00980069
4,6397.61,1.26646,1.7274,1.58692,0.78203,0.49227,0.56415,0.36841,1.23015,1.33178,1.66391,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,7244.19,1.19126,1.5245,1.52506,0.7425,0.5784,0.64095,0.43896,1.15815,1.16478,1.58168,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,8102.88,1.13099,1.3706,1.47278,0.74586,0.59943,0.65653,0.46548,1.07989,1.09941,1.50859,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,8958.53,1.08712,1.26937,1.4412,0.74545,0.65264,0.67936,0.49514,1.03318,0.97123,1.46147,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,9811.73,1.06315,1.19225,1.41764,0.83596,0.63196,0.69854,0.50427,1.03578,0.91982,1.43901,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,10674.2,1.03401,1.13482,1.39838,0.7531,0.67858,0.71952,0.52494,0.98696,0.87514,1.40367,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,11537.5,1.0192,1.08654,1.38051,0.74553,0.66637,0.71594,0.53179,0.99179,0.86946,1.40604,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12367.5,0.99905,1.05095,1.36593,0.71908,0.66887,0.73158,0.54755,0.94898,0.80667,1.37244,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
